*Loc,Descr,Loc_Type,HIERARCHYLEVEL,UDC_ClusterDescr,UDC_ClusterID,UDC_CountryDescr,UDC_CountryID,UDC_Create_Dtetm,UDC_Level,UDC_RegionDescr,UDC_RegionID,UDC_Update_Dtetm,UDC_AreaID,UDC_AreaDescr,Type,UDC_Delete
69004,CH NQ Do Dac,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69005,CH NQ Chung Cu Dao Duy Tu,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69006,CH NQ Ngo Quyen,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69008,CH NQ Tay Hoa,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69010,CH NQ Nguyen Van Cong,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69011,CH NQ Ca Mau-TTMS Hoang Gia,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69013,CH NQ Binh Hung,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69014,CH NQ Linh Xuan,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69016,CH NQ Duong Quang Ham,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69017,CH NQ Pham Viet Chanh,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69019,CH NQ 134A Nguyen Thai Son,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69020,CH CoopFood NQ QN Tang Bat Ho,6,STORE,CoopMart,CM, , ,3/19/2024 14:54,1,Mien Trung,MTR,3/19/2024 14:54, , ,1,TRUE
69021,CH NQ Au Duong Lan,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69022,CH NQ Mai Van Vinh,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69023,CH NQ Nguyen Cong Tru,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69024,CH NQ Binh Loi,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh pho Ho Chi Minh,1,FALSE
69025,CH NQ Thanh Thai,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69026,CH NQ Pho Quang,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh pho Ho Chi Minh,1,FALSE
69027,CH NQ Binh Duong,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69029,CH NQ Dream Home,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69031,CH NQ Nguyen Van Dau,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69032,CH NQ Sky 9,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69038,CH NQ Phuoc Binh,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69039,CH NQ Tang Long,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69040,CH NQ Dong Tang Long,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69041,CH NQ Binh Hoa,6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69043,CH NQ Song Huong,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69045,"CH NQ Duong 48, Thu Duc",6,STORE,CoopFood,CF,Vietnam,VN,,1,HO CHI MINH,HCMC,,S,Thanh Pho Ho Chi Minh,1,TRUE
69048,CH NQ Dinh Tien Hoang 45,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
69051,CH NQ Dang Thuy Tram,6,STORE,CoopFood,CF, , ,3/19/2024 14:54,1,HO CHI MINH,HCMC,3/19/2024 14:54, , ,1,TRUE
