*Item,Descr,UDC_SEQ_ITEM,UDC_ARTT2,UnitPrice,UDC_ARTT1,UDC_CF_G1,UDC_CF_G2,UDC_CF_G3,UDC_CF_G4,UDC_CF_G5
3418309,Bun bo 500g-KTRANG,13,CBNC,"7,100.000",,,,,,G5_NQ
3418310,Banh canh 500g-KTRANG,14,CBNC,"8,000.000",,,,,,G5_NQ
3418312,Banh uot 500g-KTRANG,15,CBNC,"7,900.000",,,,,,G5_NQ
3418313,Banh hoi 500g-KTRANG,16,CBNC,"10,500.000",,,,,,G5_NQ
3418315,Banh pho 500g-KTRANG,17,CBNC,"7,900.000",,,,,,G5_NQ
3419460,Rau cau 3 mau ly 120g-HTH,174,CBNC,"8,500.000",,,,,,G5_NQ
3419725,Pate heo kg-BMQ,154,CBNC,"140,000.000",,,,G3,G4,G5_NQ
3419728,Xoi cuon ga xe 500g-TG,211,CBNC,"52,500.000",,,,,,G5_NQ
3421977,Tom kho kg,118,CBNC,"570,000.000",,,,,,G5_NQ
3422273,Tuong hot xao sa ot 110g,127,CBNC,"9,000.000",,,,G3,G4,G5_NQ
3425642,Banh chung 300g RCK-QH,221,CBNC,"19,000.000",,,,,,G5_NQ
3425643,Com ruou HONG LOAN hu 140g,312,CBNC,"9,000.000",,,,,,G5_NQ
3425644,Com ruou H.LOAN nepthan hu140g,313,CBNC,"9,500.000",,,,,,G5_NQ
3425645,Che dxanh HONG LOAN hu 160g,314,CBNC,"8,300.000",,,,,,G5_NQ
3426463,Kim chi rong sun bien kg,54,CBNC,"136,400.000",,,,,,G5_NQ
3426465,Banh canh gao 500g-KTRANG,18,CBNC,"8,200.000",,,,,,G5_NQ
3426466,Mi quang 500g-KTRANG,19,CBNC,"7,800.000",,,,,,G5_NQ
3426468,Mi quang kg-KTRANG,27,CBNC,"13,900.000",,,,,,G5_NQ
3430907,Nem chay VIET SANG 100g,327,CBNC,"16,500.000",,,,,,G5_NQ
3431058,Ga say chua cay TNP kg,237,CBNC,"410,900.000",,,,,,G5_NQ
3433708,Chuoi say mat ong 110g-NT,128,CBNC,"15,000.000",,,,G3,G4,G5_NQ
3435319,Sua chua phomai HTH 100ml,165,CBNC,"9,500.000",,,G2,G3,G4,G5_NQ
3435320,Sua chua nep cam HTH 100ml,166,CBNC,"9,500.000",,,G2,G3,G4,G5_NQ
3441593,Mu trom nha dam chai 330ml-MK,316,CBNC,"8,800.000",,G1,G2,G3,G4,G5_NQ
3441594,Sua gao lut chai 280ml-MK,317,CBNC,"10,800.000",,,G2,G3,G4,G5_NQ
3441595,Tra sua tranchau ciao 270ml-MK,318,CBNC,"13,500.000",,G1,G2,G3,G4,G5_NQ
3441596,Matcha trasua trchau ciao270ml,319,CBNC,"10,500.000",,,G2,G3,G4,G5_NQ
3444591,B.pia yen mach MY NGOC 420g,361,CBNC,"78,300.000",,G1,G2,G3,G4,G5_NQ
3445655,Tau hu ky sen hong 300g-D&D,262,CBNC,"62,000.000",,,,G3,G4,G5_NQ
3445656,Tau hu ky cuon r.bien250g-D&D,263,CBNC,"58,000.000",,,G2,G3,G4,G5_NQ
3445658,Sua chua hat chia 100ml-HTH,168,CBNC,"8,250.000",,,,,,G5_NQ
3445825,Sua chua tra xanh 100ml-HTH,169,CBNC,"8,250.000",,,,,,G5_NQ
3446984,Hu tieu tuoi SAU THANH 250g,1,CBNC,"8,500.000",,G1,G2,G3,G4,G5_NQ
3448140,Bun tuoi 500g-SAUTHANH,2,CBNC,"7,300.000",,,,G3,G4,G5_NQ
3448291,Bun tuoi soi trung500g-BAKHANH,38,CBNC,"7,300.000",,G1,G2,G3,G4,G5_NQ
3448292,Banh uot gao 500g-BAKHANH,39,CBNC,"9,500.000",,G1,G2,G3,G4,G5_NQ
3449069,Sua bap nep chai 330ml-MKX,320,CBNC,"11,500.000",,G1,G2,G3,G4,G5_NQ
3449070,Sua hat sen chai 280ml-MKX,321,CBNC,"10,800.000",,G1,G2,G3,G4,G5_NQ
3453554,Lap xuong tuoi TNP kg,241,CBNC,"194,000.000",,,,,,G5_NQ
3454386,Rong bien say toi ot 40g-NT,129,CBNC,"22,000.000",,,,,,G5_NQ
3455045,Sua chua yen 100ml-HTH,170,CBNC,"13,200.000",,,G2,G3,G4,G5_NQ
